Cycle,Inhalation (s),Apnea 1 (s),Exhalation (s),Apnea 2 (s),Total Cycle (s)
1,3.0,6.0,8.0,7.0,24.0
2,4.0,6.0,7.0,7.0,24.0
3,3.0,5.0,4.0,4.0,16.0
4,1.0,1.0,4.0,1.0,7.0
5,2.0,2.0,3.0,2.0,9.0
6,1.0,3.0,3.0,1.0,8.0
7,2.0,3.0,3.0,4.0,12.0
8,2.0,3.0,4.0,6.0,15.0
9,1.0,6.0,6.0,3.0,16.0
10,4.0,1.0,5.0,4.0,14.0
11,4.0,2.0,4.0,1.0,11.0
12,2.0,1.0,3.0,2.0,8.0
13,2.0,1.0,3.0,1.0,7.0
14,2.0,1.0,4.0,2.0,9.0
15,3.0,3.0,3.0,1.0,10.0
16,3.0,1.0,4.0,1.0,9.0
17,2.0,1.0,3.0,1.0,7.0
18,3.0,2.0,3.0,1.0,9.0
19,1.0,1.0,2.0,2.0,6.0
20,3.0,4.0,2.0,1.0,10.0
21,1.0,4.0,1.0,3.0,9.0
22,1.0,2.0,4.0,2.0,9.0
23,2.0,3.0,6.0,2.0,13.0
24,3.0,1.0,3.0,1.0,8.0
25,3.0,1.0,2.0,2.0,8.0
26,5.0,1.0,3.0,1.0,10.0
27,3.0,2.0,2.0,1.0,8.0
28,5.0,5.0,2.0,3.0,15.0
29,1.0,1.0,1.0,4.0,7.0
30,1.0,1.0,1.0,3.0,6.0
31,1.0,3.0,1.0,1.0,6.0
32,1.0,1.0,1.0,1.0,4.0
33,2.0,1.0,1.0,1.0,5.0
34,4.0,1.0,2.0,1.0,8.0
35,1.0,3.0,1.0,2.0,7.0
36,1.0,3.0,1.0,2.0,7.0
37,2.0,2.0,1.0,1.0,6.0
38,3.0,1.0,2.0,1.0,7.0
39,2.0,3.0,2.0,2.0,9.0
40,2.0,2.0,2.0,1.0,7.0
41,5.0,3.0,1.0,4.0,13.0
42,1.0,1.0,1.0,1.0,4.0
43,5.0,1.0,2.0,2.0,10.0
44,2.0,2.0,3.0,1.0,8.0
45,2.0,1.0,3.0,3.0,9.0
46,3.0,1.0,3.0,2.0,9.0
47,1.0,12.0,1.0,1.0,15.0
48,2.0,2.0,8.0,1.0,13.0
49,10.0,1.0,4.0,1.0,16.0
50,1.0,2.0,1.0,1.0,5.0
51,2.0,4.0,4.0,1.0,11.0
52,4.0,2.0,3.0,2.0,11.0
53,4.0,3.0,2.0,1.0,10.0
54,2.0,1.0,1.0,4.0,8.0
55,2.0,1.0,4.0,13.0,20.0
56,2.0,2.0,6.0,1.0,11.0
57,2.0,1.0,12.0,1.0,16.0
58,1.0,1.0,2.0,2.0,6.0
59,1.0,1.0,1.0,1.0,4.0
avg,2.4,2.3,3.0,2.2,10.0
