Cycle,Inhalation (s),Apnea 1 (s),Exhalation (s),Apnea 2 (s),Total Cycle (s)
1,2.0,6.0,1.0,19.0,28.0
2,3.0,1.0,1.0,22.0,27.0
3,6.0,1.0,1.0,6.0,14.0
4,9.0,18.0,5.0,21.0,53.0
5,4.0,2.0,15.0,17.0,38.0
6,5.0,22.0,8.0,1.0,36.0
7,6.0,1.0,3.0,14.0,24.0
8,5.0,17.0,10.0,1.0,33.0
9,2.0,5.0,2.0,12.0,21.0
10,5.0,18.0,18.0,16.0,57.0
11,3.0,1.0,1.0,17.0,22.0
12,14.0,2.0,1.0,14.0,31.0
13,4.0,19.0,14.0,17.0,54.0
14,3.0,1.0,1.0,21.0,26.0
15,12.0,18.0,3.0,1.0,34.0
16,1.0,23.0,20.0,16.0,60.0
17,5.0,26.0,5.0,5.0,41.0
18,3.0,9.0,1.0,3.0,16.0
avg,5.1,10.6,6.1,12.4,34.2
